Id|RowCreated|RowUpdated|RowCreatedByUser|RowUpdatedByUser|RowInfo|GlobalID|Code|Value|AliasEn|AliasAz|AliasRu|DefinitionEn|DefinitionAz|DefinitionRu
68|2024-01-18 07:07:50.1552981|2024-01-18 07:07:50.1552983|admin|admin||fd270e17-fb89-459e-bdd9-a364f0312390|LV|Latvian, Lettish||||||
69|2024-01-18 07:07:50.1553128|2024-01-18 07:07:50.155313|admin|admin||2ead6fbb-ede9-4559-81fe-fd2df16daf11|LN|Lingala||||||
70|2024-01-18 07:07:50.1553323|2024-01-18 07:07:50.1553325|admin|admin||e7141156-10f5-44ad-aa3e-fdcb1e81ccfe|LT|Lithuanian||||||
71|2024-01-18 07:07:50.1553523|2024-01-18 07:07:50.1553524|admin|admin||8e24520b-6fbd-4026-9d9f-25cffbccff2c|MK|Macedonian||||||
72|2024-01-18 07:07:50.1553677|2024-01-18 07:07:50.1553679|admin|admin||a99a3784-9f2c-49a9-b912-07a81470bfe1|MG|Malagasy||||||
73|2024-01-18 07:07:50.1553825|2024-01-18 07:07:50.1553826|admin|admin||ae881c93-a877-4595-aa12-817f9cbcb268|MS|Malay||||||
74|2024-01-18 07:07:50.1553978|2024-01-18 07:07:50.155398|admin|admin||50966f25-f3f8-4d5f-aeba-ac0c58003888|ML|Malayalam||||||
75|2024-01-18 07:07:50.1554126|2024-01-18 07:07:50.1554128|admin|admin||7f953a01-98dd-47e8-a9de-84793a3d02e2|MT|Maltese||||||
76|2024-01-18 07:07:50.1554277|2024-01-18 07:07:50.1554278|admin|admin||cea5267e-9281-4d78-9f43-f0c19db21377|MI|Maori||||||
77|2024-01-18 07:07:50.1554423|2024-01-18 07:07:50.1554425|admin|admin||a6007d8b-2eab-46d5-9755-6ecab7da220a|MR|Marathi||||||
78|2024-01-18 07:07:50.155458|2024-01-18 07:07:50.1554582|admin|admin||d2487a99-0004-4945-a829-0657bacf8cd2|MO|Moldavian||||||
79|2024-01-18 07:07:50.1554876|2024-01-18 07:07:50.1554878|admin|admin||8203e8f3-2677-451e-910e-a354c5431692|MN|Mongolian||||||
80|2024-01-18 07:07:50.1555029|2024-01-18 07:07:50.1555031|admin|admin||93df2c6a-aba5-4c0f-90cd-770ed85df546|NA|Nauru||||||
81|2024-01-18 07:07:50.1555176|2024-01-18 07:07:50.1555178|admin|admin||adfa4074-2b59-4424-9567-840661251f45|NE|Nepali||||||
82|2024-01-18 07:07:50.1555329|2024-01-18 07:07:50.1555331|admin|admin||5a6ac0ba-1252-41d8-897a-e3ef08df4624|NO|Norwegian||||||
83|2024-01-18 07:07:50.1555478|2024-01-18 07:07:50.155548|admin|admin||60b3fc2b-f7da-462c-82bb-cb57c44bb6f1|OC|Occitan||||||
84|2024-01-18 07:07:50.155563|2024-01-18 07:07:50.1555632|admin|admin||1c1437e6-4d17-4156-b0d4-48d9ff402a51|OR|Oriya||||||
85|2024-01-18 07:07:50.1555779|2024-01-18 07:07:50.1555781|admin|admin||b92adddb-85d2-426d-8f90-269519c93dd8|OM|Oromo, Afan||||||
86|2024-01-18 07:07:50.1555932|2024-01-18 07:07:50.1555934|admin|admin||484ff199-42a2-42b3-915d-c9650515d08c|PS|Pashto, Pushto||||||
87|2024-01-18 07:07:50.155608|2024-01-18 07:07:50.1556082|admin|admin||e8ee00cb-9831-4669-a4f9-544d9cd0b35d|FA|Persian||||||
88|2024-01-18 07:07:50.1556226|2024-01-18 07:07:50.1556228|admin|admin||5723a000-e6b6-4da5-adec-1d50fc3ca2b5|PL|Polish||||||
89|2024-01-18 07:07:50.155637|2024-01-18 07:07:50.1556372|admin|admin||6b348444-a6a8-496d-b454-15125e48569d|PT|Portuguese||||||
90|2024-01-18 07:07:50.1556521|2024-01-18 07:07:50.1556522|admin|admin||7e1ec32c-365f-4f51-9ebc-51ca3a68eccf|PA|Punjabi||||||
91|2024-01-18 07:07:50.1556695|2024-01-18 07:07:50.1556697|admin|admin||a66fb415-41d5-45c7-a1f1-308137e8abab|QU|Quechua||||||
92|2024-01-18 07:07:50.1556849|2024-01-18 07:07:50.1556851|admin|admin||cd8c1082-b09e-4236-9797-a43482824def|RM|Rhaeto-Romance||||||
93|2024-01-18 07:07:50.1557009|2024-01-18 07:07:50.1557011|admin|admin||c79a964c-6aad-4087-a3fc-785500d4fcad|RO|Romanian||||||
94|2024-01-18 07:07:50.1557157|2024-01-18 07:07:50.1557159|admin|admin||dc8b84ed-0d78-47ed-9586-821b9722a26c|RU|Russian||||||
95|2024-01-18 07:07:50.1557303|2024-01-18 07:07:50.1557305|admin|admin||663a365c-ada7-496b-ba3e-0740d91d925c|SM|Samoan||||||
96|2024-01-18 07:07:50.1557531|2024-01-18 07:07:50.1557534|admin|admin||bd0d6b46-7d19-48aa-8f11-093ae1539dca|SG|Sangro||||||
97|2024-01-18 07:07:50.1557692|2024-01-18 07:07:50.1557694|admin|admin||aff782b5-2995-449a-a834-b6d026d2d7e4|SA|Sanskrit||||||
98|2024-01-18 07:07:50.155784|2024-01-18 07:07:50.1557841|admin|admin||b7a5cfbd-2be6-430f-8dca-3c0a6fa39220|SR|Serbian||||||
99|2024-01-18 07:07:50.1557984|2024-01-18 07:07:50.1557986|admin|admin||61d78862-71d4-4707-8679-2a8872ac31b5|SH|Serbo-Croatian||||||
100|2024-01-18 07:07:50.1558137|2024-01-18 07:07:50.1558139|admin|admin||25701584-dcec-41c8-ab02-86f1aa6a2f45|ST|Sesotho||||||
101|2024-01-18 07:07:50.1558291|2024-01-18 07:07:50.1558293|admin|admin||4689ce40-f102-4f63-ab8b-31c8e52f7ec7|TN|Setswana||||||
102|2024-01-18 07:07:50.1558438|2024-01-18 07:07:50.155844|admin|admin||089e226c-d6b1-440e-bff3-fbc3810eeb11|SN|Shona||||||
103|2024-01-18 07:07:50.1558581|2024-01-18 07:07:50.1558582|admin|admin||02461f70-3550-449c-a512-d5a49fe82931|SD|Sindhi||||||
104|2024-01-18 07:07:50.1558723|2024-01-18 07:07:50.1558725|admin|admin||ee0dcf7e-90e8-455b-8140-8c7c7b28b4a5|SI|Singhalese||||||
105|2024-01-18 07:07:50.1558873|2024-01-18 07:07:50.1558875|admin|admin||1b92c422-8031-4aec-82a3-672b0e09c049|SS|Siswati||||||
106|2024-01-18 07:07:50.155902|2024-01-18 07:07:50.1559021|admin|admin||41cea155-8e0b-440c-b8a9-8dfb42caea3d|SK|Slovak||||||
107|2024-01-18 07:07:50.1559164|2024-01-18 07:07:50.1559166|admin|admin||acf9cd99-427b-4e9a-a23e-5e7152b8a644|SL|Slovenian||||||
108|2024-01-18 07:07:50.1559312|2024-01-18 07:07:50.1559313|admin|admin||b482a9ab-cf6e-4821-8fe1-47527e564bb6|SO|Somali||||||
109|2024-01-18 07:07:50.1559468|2024-01-18 07:07:50.155947|admin|admin||2a4a676a-aad2-4ddf-ad7c-94cbff2db961|ES|Spanish||||||
110|2024-01-18 07:07:50.1559615|2024-01-18 07:07:50.1559617|admin|admin||5280ba66-3c18-481d-a0a6-e72ca6291abb|SU|Sudanese||||||
111|2024-01-18 07:07:50.1559758|2024-01-18 07:07:50.155976|admin|admin||fa5d4f16-5b3f-4e5c-af33-05c08df6785f|SW|Swahili||||||
112|2024-01-18 07:07:50.15599|2024-01-18 07:07:50.1559902|admin|admin||998d301a-f7c8-444f-b16f-10cac9621b35|SV|Swedish||||||
113|2024-01-18 07:07:50.156005|2024-01-18 07:07:50.1560052|admin|admin||c177cff9-d85a-4590-9b9b-e1fb10e5d764|TL|Tagalog||||||
114|2024-01-18 07:07:50.1560196|2024-01-18 07:07:50.1560198|admin|admin||623363b6-9d26-4a9d-b1c7-f09f47a3b460|TG|Tajik||||||
115|2024-01-18 07:07:50.1560342|2024-01-18 07:07:50.1560344|admin|admin||b352100f-8f22-4b7c-8047-a548f2f89f6f|TA|Tamil||||||
116|2024-01-18 07:07:50.1560489|2024-01-18 07:07:50.1560491|admin|admin||e7d2c6b5-9e73-4652-85a1-0502bf5d9fd7|TT|Tatar||||||
117|2024-01-18 07:07:50.1560642|2024-01-18 07:07:50.1560644|admin|admin||07491ed2-7afd-4b86-bea8-88fbe1dc1dd5|TE|Tegulu||||||
118|2024-01-18 07:07:50.156079|2024-01-18 07:07:50.1560792|admin|admin||4e86766d-8727-49d0-9ed0-bbb91a93565d|TH|Thai||||||
119|2024-01-18 07:07:50.1560934|2024-01-18 07:07:50.1560936|admin|admin||6084b1de-b1f1-4275-859c-b1b3348aefb6|BO|Tibetan||||||
120|2024-01-18 07:07:50.1561079|2024-01-18 07:07:50.156108|admin|admin||cacb5601-130e-4fea-b8aa-7dd23fbd6dc4|TI|Tigrinya||||||
121|2024-01-18 07:07:50.1561233|2024-01-18 07:07:50.1561235|admin|admin||d5462c87-fa4c-4d39-a80b-2127eec699f0|TO|Tonga||||||
122|2024-01-18 07:07:50.1561381|2024-01-18 07:07:50.1561383|admin|admin||474495bf-1a2e-4984-871c-af41fb154fbf|TS|Tsonga||||||
123|2024-01-18 07:07:50.1561527|2024-01-18 07:07:50.1561529|admin|admin||9f46354e-3db1-4f52-b223-b1739df64743|TR|Turkish||||||
